facility_id,phone,website,in_out,op_hour,fee,shower,parking
149,02-901-6226,,,,,False,False
150,02-901-6226,,,,,False,False
151,02-901-6226,,,,,False,False
152,02-588-4111,https://sports.idongjak.or.kr/fac/fac_04.html,실내,,,False,False
153,02-595-5556,,없음,,,False,False
154,02-2148-1892,,,,,False,False
155,,,,,,False,False
156,02-2627-1664,,,,,False,False
157,02-2286-5213,Happysd.or.kr,실외,,,False,False
158,02-2204-7676,,실외,,,False,False
159,02-901-6226,,,,,False,False
160,02-901-6223,,실내외,,,False,False
161,02-901-6226,,,,,False,False
162,02-901-6226,,,,,False,False
163,,,없음,,,False,False
164,02-2627-1664,,,,,False,False
165,02-2148-1892,,,,,False,False
166,02-2148-4068,www.ijongno.co.kr,실외,,,False,False
167,02-901-6226,,,,,False,False
168,02-2289-6781,,실내,,,False,False
169,,,,,,False,False
170,02-3425-5274,,실외,,,False,False
171,02-3425-5274,,,,,False,False
172,02-330-1411,,없음,,,False,False
173,02-330-1411,,실외,,,False,False
174,02-334-0080,,없음,,,False,False
175,,,실내,,,False,False
176,,https://www.sscmc.or.kr/culture1/,실내,,,False,False
177,02-404-6240,www.sgsc.or.kr,실내,,,False,False
178,022-240-6600,,없음,,,False,False
179,02-822-2426,http://www.womansports.co.kr/,실내,,,False,False
180,02-2128-2958,https://www.sisul.or.kr/open_content/worldcup/,실외,,,False,False
181,,,없음,,,False,False
182,02-306-8848,www.seoulmccenter.or.kr,실내외,,,False,False
183,02-3481-9394,,,,,False,False
184,02-2155-7403,,,,,False,False
185,02-2155-7446,,,,,False,False
186,02-2155-7465,,,,,False,False
187,,,,,,False,False
188,591-591-6060,,실내,,,False,False
189,02-2155-6754,,,,,False,False
190,02-591-6060,,없음,,,False,False
191,02-572-6131,,실내,,,False,False
192,02-852-5357,,,,,False,False
193,,,,,,False,False
194,02-2081-2665,https://www.gwanakgongdan.or.kr,실내,,,False,False
195,02-3425-5275,,실외,,,False,False
196,,www.happysd.or.kr,실내,,,False,False
197,02-324-9863,,없음,,,False,False
198,02-2241-0681,,없음,,,False,False
199,02-909-3497,http://www.gongdan.go.kr,없음,,,False,False
200,02-6917-1100,Gongdan.go.kr,실내,,,False,False
201,02-6917-1100,http://www.gongdan.go.kr,실내,,,False,False
202,,,,,,False,False
203,02-2280-8455,,실외,,,False,False
204,02-901-6226,,,,,False,False
205,,,,,,False,False
206,02-403-2839,,없음,,,False,False
207,,,실외,,,False,False
208,02-2147-5134,,실내외,,,False,False
209,02-449-0500,http://www.youth1318.or.kr/,실내,,,False,False
210,02-2147-5134,https://www.songpa.go.kr/culture/contents.do?key=5405&,실외,,,False,False
211,02-6229-6682,,실내,,,False,False
212,02-2670-1297,,실내,,,False,False
213,02-2670-1356,,실내,,,False,False
214,02-2670-3857,,,,,False,False
215,02-831-2755,Singil.org,실내,,,False,False
216,,,,,,False,False
217,02-3422-4350,Www.jungnangimc.or.kr,실내,,,False,False
218,02-2094-0075,,,,,False,False
219,02-1899-9912,www.gurosisul.or.kr,실내,,,False,False
220,02-533-8602,,,,,False,False
221,02-869-1888,,실내,,,False,False
222,02-2155-6860,,,,,False,False
223,02-2155-6860,,,,,False,False
224,02-850-2302,,,,,False,False
225,02-2148-1892,,,,,False,False
226,02-2155-6773,,,,,False,False
227,02-2605-4093,www.ycs.or.kr,실내,,,False,False
228,02-1234-1234,stadium.seoul.go.kr,실외,,,False,False
229,,,,,,False,False
230,02-2630-2988,,실외,,,False,False
231,02-2600-4183,,,,,False,False
232,,,,,,False,False
233,02-2091-2364,,,,,False,False
234,02-3437-7234,http://stadium.gwangjin.or.kr/,실외,,,False,False
235,02-3437-7234,,,,,False,False
236,02-3437-7234,,,,,False,False
237,02-3437-7234,http://stadium.gwangjin.or.kr/,실외,,,False,False
238,02-901-6226,,,,,False,False
239,02-2627-1664,,,,,False,False
240,,,,,,False,False
241,02-860-2023,,실외,,,False,False
242,02-2627-1428,,,,,False,False
243,02-860-2023,,,,,False,False
244,02-2627-1863,,,,,False,False
245,02-860-2023,,실외,,,False,False
246,02-860-2023,,실외,,,False,False
247,02-2627-1428,,,,,False,False
248,02-2627-1428,,,,,False,False
249,02-2627-1428,,,,,False,False
250,02-2627-1428,,,,,False,False
251,02-2155-6755,,,,,False,False
252,02-2155-6214,,실외,,,False,False
253,02-575-3895,,,,,False,False
254,02-2155-6754,,,,,False,False
255,02-2155-6772,,,,,False,False
256,02-2652-1792,WWW.YCS.OR.KR,실내,,,False,False
257,02-2670-1198,,,,,False,False
258,02-2670-3765,,,,,False,False
259,02-2670-1222,,,,,False,False
260,,,,,,False,False
261,02-2630-2988,,실외,,,False,False
262,02-2630-2988,,없음,,,False,False
263,02-3780-0847,https://hangang.seoul.go.kr/www/contents/774.do?mid=505,실외,,,False,False
264,02-450-9310,,없음,,,False,False
265,02-860-2023,https://www.guro.go.kr/health/healthy_life/exercise_establishment/park_brook/anyang_brook.jsp,실외,,,False,False
266,02-577-7718,http://3ful.com,실내외,,,False,False
267,02-2155-6754,,,,,False,False
268,,,,,,False,False
269,,,,,,False,False
270,,,,,,False,False
271,02-2204-7650,http://sports.happysd.or.kr,실내,,,False,False
272,02-3153-9854,,실내,,,False,False
273,02-6346-7684,,없음,,,False,False
274,02-2630-2995,,없음,,,False,False
275,02-2670-1055,,,,,False,False
276,02-2670-1026,,,,,False,False
277,02-2670-1026,,실내,,,False,False
278,02-2670-1026,,실내,,,False,False
279,02-2670-1026,,,,,False,False
280,02-2630-2990,https://www.y-sisul.or.kr/mod.asp?m=business=h01,실내외,,,False,False
281,02-2650-1500,https://www.y-sisul.or.kr/mod.asp?m=business=a01,실내,,,False,False
282,02-2670-3142,y-sisul.or.kr,실내,,,False,False
283,02-2670-3522,https://yeyak.seoul.go.kr/reservation/view.web?rsvsvcid=S110408151117510650,실외,,,False,False
284,02-901-6226,,,,,False,False
285,02-901-6226,,,,,False,False
286,02-2147-5134,,실외,,,False,False
287,02-860-2022,,실외,,,False,False
288,,,,,,False,False
289,02-944-2950,www.gangbukcmc.seoul.kr,없음,,,False,False
290,,,실외,,,False,False
291,02-944-2932,,실내,,,False,False
292,,www.songpa.seoul.kr,실외,,,False,False
293,,,,,,False,False
294,02-2045-7800,,실내,,,False,False
295,02-2180-3743,,실내,,,False,False
296,02-2180-3743,,실외,,,False,False
297,02-2180-3743,http://sports.ksponco.or.kr/index.es?sid=a2,실내,,,False,False
298,02-2180-3743,,실외,,,False,False
299,,https://www.ijongno.co.kr/main,실내,,,False,False
300,,,실내,,,False,False
301,02-754-1892,,없음,,,False,False
302,,,,,,False,False
303,,,,,,False,False
304,02-436-3466,http://www.jungnangimc.or.kr,실외,,,False,False
305,02-437-2949,,실외,,,False,False
306,02-707-2492,http://www.yongsangu-sc.or.kr/,실내외,,,False,False
307,02-749-0102,yong-san.or.kr/youspool,실내,,,False,False
308,02-2199-7563,,실내,,,False,False
309,02-2289-6870,,실내,,,False,False
310,02-901-6226,,,,,False,False
311,02-2045-7979,,실내외,,,False,False
312,02-2627-1664,,,,,False,False
313,02-350-5393,https://cult.ep.go.kr/CmsWeb/viewPage.req?idx=PG0000003348,실외,,,False,False
314,02-350-5324,www.eunpyeongspo.seoul.kr,실내,,,False,False
315,02-350-5325,https://cult.ep.go.kr/CmsWeb/viewPage.req?idx=PG0000003349,실내,,,False,False
316,070-4117-9561,,실내외,,,False,False
317,02-2600-4183,,,,,False,False
318,,,,,,False,False
319,02-2199-7593,hangang.seoul.go.kr,실외,,,False,False
320,02-797-1016,hangang.seoul.go.kr,실외,,,False,False
321,02-2204-7650,www.happysd.or.kr,실외,,,False,False
322,02-2204-7676,,실외,,,False,False
323,02-6929-0682,www.dfmc.kr,실내외,,,False,False
324,02-6929-0681,,실외,,,False,False
325,,,,,,False,False
326,02-2176-0845,,실내,,,False,False
327,02-2045-7864,,실내,,,False,False
328,02-3780-0847,,실외,,,False,False
329,,,,,,False,False
330,,,,,,False,False
331,,,,,,False,False
332,,,,,,False,False
333,02-2240-8800,stadium.seoul.go.kr,실외,,,False,False
334,,,실외,,,False,False
335,02-3780-0847,https://hangang.seoul.go.kr/www/contents/774.do?mid=505,실외,,,False,False
336,02-533-7509,,실내,,,False,False
337,02-533-7508,,,,,False,False
338,02-2155-6772,,,,,False,False
339,02-2081-2645,https://www.gwanakgongdan.or.kr,실내,,,False,False
340,02-901-6226,,,,,False,False
341,02-3783-5922,,실외,,,False,False
342,02-2280-8469,https://www.e-junggu.or.kr/new/,실외,,,False,False
343,,https://www.e-junggu.or.kr/new/,실내,,,False,False
344,02-2128-2800,https://www.sisul.or.kr/open_content/jangchung/,실내,,,False,False
345,,stadium.seoul.go.kr,,,,False,False
346,02-901-6226,,,,,False,False
347,02-2029-4593,,실내,,,False,False
348,,,실내,,,False,False
349,,www.ijongno.co.kr,실내외,,,False,False
350,,,없음,,,False,False
351,02-2199-7563,,실내,,,False,False
352,02-3408-4918,http://jgsports.gwangjin.or.kr/,실내,,,False,False
353,02-2280-8433,,실내,,,False,False
354,02-2094-2949,,실외,,,False,False
355,02-433-2949,,실외,,,False,False
356,02-2094-0075,,,,,False,False
357,02-3422-4350,,실외,,,False,False
358,02-3423-1070,http://jungnangspo.seoul.kr,실내,,,False,False
359,02-2094-1862,,실내,,,False,False
360,02-2094-1862,,실내,,,False,False
361,070-4193-6108,,실내외,,,False,False
362,,,실내외,,,False,False
363,02-450-7589,,실외,,,False,False
364,02-490-0114,www.jjang.or.kr,실내,,,False,False
365,,,,,,False,False
366,,,,,,False,False
367,,,,,,False,False
368,02-351-8007,,,,,False,False
369,02-351-8007,,,,,False,False
370,02-852-1646,,,,,False,False
371,02-901-5223,,,,,False,False
372,02-2600-4183,,,,,False,False
373,02-403-2395,https://www.songpa.go.kr/culture/contents.do?key=5399&,실외,,,False,False
374,02-330-1129,,,,,False,False
375,02-2045-7690,,없음,,,False,False
376,,www.kncity.or.kr,실내,,,False,False
377,02-846-9424,,,,,False,False
378,,,실외,,,False,False
379,,,,,,False,False
380,02-901-5125,,실내,,,False,False
381,02-901-5126,https://www.dobongsiseol.or.kr/,실외,,,False,False
382,02-2280-8404,,실내,,,False,False
383,02-2670-3142,,,,,False,False
384,02-970-0045,,실내,,,False,False
385,02-970-0045,,실내,,,False,False
386,02-970-0045,,실내,,,False,False
387,,,,,,False,False
388,02-2148-1892,,,,,False,False
389,02-2148-1892,,,,,False,False
390,02-2148-1892,,,,,False,False
391,,,,,,False,False
392,02-2176-0871,http://www.kncity.or.kr,실외,,,False,False
393,,,,,,False,False
394,,,,,,False,False
395,,,,,,False,False
396,,,실외,,,False,False
397,,,없음,,,False,False
398,02-2199-7564,,실내,,,False,False
399,,hangang.seoul.go.kr,없음,,,False,False
400,02-745-6701,https://www.ijongno.co.kr/main,실외,,,False,False
401,02-2627-1428,,,,,False,False
402,02-2066-3002,https://www.gurosisul.or.kr/mod.asp?m=business&s=b10,실내,,,False,False
403,02-2045-7651,http://www.igangdong.or.kr,실내외,,,False,False
404,,,,,,False,False
405,02-330-1411,,실외,,,False,False
406,02-3420-5451,,,,,False,False
407,,,,,,False,False
408,02-2627-1428,,,,,False,False
409,02-2627-1664,,,,,False,False
410,,,,,,False,False
411,02-330-1411,,실외,,,False,False
412,,,,,,False,False
413,,,,,,False,False
414,,,,,,False,False
415,02-330-1129,,실외,,,False,False
416,,,,,,False,False
417,02-2148-1892,,,,,False,False
418,02-2148-1892,,,,,False,False
419,02-2199-7562,,실외,,,False,False
420,02-713-1410,,실외,,,False,False
421,,,,,,False,False
422,02-716-0600,hyochang.or.kr,실내,,,False,False
423,02-823-2273,www.idongjak.or.kr,실내,,,False,False
424,02-2627-1664,,,,,False,False
